"# Ignition - P/T, knock level 1"
# Address: 0x9594
# Size: 16x16

42,43,43,43,43,43,42,38,38,38,38,38,38,38,36,37
42,45,49,49,48,46,43,39,38,38,38,38,38,38,36,37
50,58,58,57,56,51,46,42,40,39,38,38,38,38,36,37
58,64,64,62,59,55,50,44,42,41,40,39,39,38,36,37
66,74,69,65,62,58,54,47,46,42,41,40,40,39,36,37
70,80,71,67,65,62,60,54,50,46,43,43,43,40,36,37
70,80,73,70,67,64,63,59,53,50,48,47,44,41,37,37
70,80,74,71,68,65,64,61,57,53,50,48,46,43,37,37
70,80,76,72,68,65,64,63,58,54,51,50,48,43,38,37
70,80,78,72,68,65,64,63,59,56,52,51,48,44,38,37
70,80,78,73,68,66,64,63,59,56,53,52,49,45,39,38
70,80,78,73,69,66,64,63,59,57,54,53,50,46,40,38
70,80,79,74,68,66,64,63,59,57,54,53,51,46,41,40
70,82,80,74,69,66,64,63,59,57,55,54,51,46,42,41
70,82,80,74,69,66,64,63,59,57,56,54,52,47,43,42
70,82,80,74,69,66,64,63,60,58,57,55,53,48,44,43
